17  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
17  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
17  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
17  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
17  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
17  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
17  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
17  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
17  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
18  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
18  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
18  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
18  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
18  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
18  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
18  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
18  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
18  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
19  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
19  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
19  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
19  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
19  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
19  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
19  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
19  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
19  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
20  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
20  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
20  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
20  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
20  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
20  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
20  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
20  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
20  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
21  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
21  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
21  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
21  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
21  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
21  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
21  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
21  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
21  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
22  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
22  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
22  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
22  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
22  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
22  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
22  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
22  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
22  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
23  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
23  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
23  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
23  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
23  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
23  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
23  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
23  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
23  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
24  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
24  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
24  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
24  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
24  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
24  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
24  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
24  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
24  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
25  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
25  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
25  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
