35  	 3 	 2 	 9.546859 	 0.007223 	 1295.442176 
35  	 3 	 4 	 9.867767 	 0.003998 	 718.285214 
36  	 3 	 1 	 9.408796 	 0.007656 	 1372.872575 
36  	 3 	 6 	 10.744609 	 0.004462 	 801.449471 
36  	 3 	 2 	 9.546859 	 0.007069 	 1268.032193 
36  	 3 	 5 	 10.622887 	 0.004652 	 835.399417 
37  	 3 	 3 	 8.600037 	 0.010619 	 1901.339797 
37  	 3 	 4 	 9.867767 	 0.006328 	 1135.475483 
37  	 3 	 6 	 10.744609 	 0.004478 	 804.202458 
37  	 3 	 5 	 10.622887 	 0.004712 	 846.120942 
38  	 3 	 1 	 9.408796 	 0.007505 	 1345.803984 
38  	 3 	 4 	 9.867767 	 0.006328 	 1135.475483 
38  	 3 	 2 	 9.546859 	 0.007080 	 1269.894882 
38  	 3 	 5 	 10.622887 	 0.004712 	 846.120942 
39  	 3 	 1 	 9.408796 	 0.007656 	 1372.872575 
39  	 3 	 4 	 9.867767 	 0.006248 	 1121.098838 
39  	 3 	 3 	 8.600037 	 0.010633 	 1903.786125 
39  	 3 	 5 	 10.622887 	 0.004712 	 846.120942 
40  	 3 	 1 	 9.408796 	 0.007656 	 1372.872575 
40  	 3 	 4 	 9.867767 	 0.006328 	 1135.475483 
40  	 3 	 6 	 10.744609 	 0.004414 	 792.797705 
40  	 3 	 5 	 10.622887 	 0.004712 	 846.120942 
41  	 3 	 1 	 9.408796 	 0.004861 	 872.793131 
41  	 3 	 4 	 9.867767 	 0.006328 	 1135.475483 
41  	 3 	 6 	 10.744609 	 0.002884 	 518.446082 
41  	 3 	 5 	 10.622887 	 0.002991 	 537.628175 
42  	 3 	 6 	 10.744609 	 0.004478 	 804.202458 
42  	 3 	 4 	 9.867767 	 0.006328 	 1135.475483 
42  	 3 	 2 	 9.546859 	 0.007083 	 1270.408193 
42  	 3 	 1 	 9.408796 	 0.007615 	 1365.569176 
43  	 3 	 5 	 10.622887 	 0.004587 	 823.709460 
