20 	 5 	 10  	 4  	 1236.701947 	 1.400000 	 3 
20 	 6 	 10  	 3  	 1848.355336 	 1.200000 	 0 
20 	 7 	 10  	 1  	 3572.221781 	 0.050000 	 0 
8 	 1 	 10  	 2  	 36557.488644 	 2.750000 	 0 
8 	 2 	 10  	 1  	 0.000000 	 0.000000 	 0 
8 	 3 	 10  	 4  	 3339.222178 	 1.000000 	 5 
8 	 4 	 10  	 4  	 13595.803658 	 3.375000 	 8 
8 	 5 	 10  	 4  	 8844.837315 	 3.250000 	 3 
8 	 6 	 10  	 5  	 1835.864412 	 1.750000 	 1 
8 	 7 	 10  	 1  	 2358.111507 	 0.125000 	 0 
20 	 1 	 10  	 1  	 195178.156535 	 1.900000 	 0 
20 	 2 	 10  	 2  	 1279.442460 	 0.900000 	 0 
20 	 3 	 10  	 4  	 42804.569459 	 1.600000 	 7 
20 	 4 	 10  	 3  	 21978.894167 	 1.500000 	 5 
20 	 5 	 10  	 5  	 10963.376588 	 0.800000 	 5 
20 	 6 	 10  	 3  	 585.999792 	 1.300000 	 1 
20 	 7 	 10  	 3  	 3551.195715 	 0.050000 	 0 
20 	 1 	 10  	 2  	 11037.372934 	 3.050000 	 1 
20 	 2 	 10  	 3  	 1660.974179 	 0.150000 	 1 
20 	 3 	 10  	 2  	 6452.247910 	 0.900000 	 1 
20 	 4 	 10  	 4  	 65722.844533 	 1.350000 	 2 
20 	 5 	 10  	 2  	 27507.347113 	 1.100000 	 1 
20 	 6 	 10  	 2  	 8.612734 	 0.050000 	 0 
20 	 7 	 10  	 2  	 6.914703 	 0.100000 	 0 
20 	 1 	 10  	 1  	 206.674074 	 0.900000 	 0 
20 	 2 	 10  	 3  	 1146.440621 	 1.150000 	 1 
20 	 3 	 10  	 3  	 683.187465 	 0.250000 	 2 
20 	 4 	 10  	 3  	 44.137145 	 0.100000 	 0 
20 	 5 	 10  	 2  	 49867.953998 	 0.100000 	 1 
20 	 6 	 10  	 5  	 110.218484 	 0.150000 	 1 
